Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Age of the establishment (years),Proportion of private domestic ownership in a firm (%),Proportion of private foreign ownership in a firm (%),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of government/state ownership in a firm (%),Proportion of a firm held by the largest owner(s) (%),Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of publicly listed company,Percent of firms with an internationally-recognized quality certification,Percent of firms with an annual financial statement reviewed by external auditors ,Percent of firms with legal status of privately held Limited Liability Company ,Percent of firms with legal status of Partnership,Percent of firms with legal status of Limited Partnership
Armenia,2013,Location,,South West,Average,20.7,94.5,...,11.9,0.0,...,...,0.0,...,21.8,0.0,...,...,...
Armenia,2013,Location,,Yerevan,Average,13.1,94.7,...,8.0,0.0,...,...,0.8,...,25.5,22.6,...,...,...
Armenia,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,12.2,88.9,...,20.6,0.0,...,...,0.0,...,51.0,33.4,...,...,...
Armenia,2013,Exporter Type,,Non-exporter,Average,13.8,95.6,...,6.4,0.0,...,...,0.7,...,21.5,19.1,...,...,...
Armenia,2013,Gender of Top Manager,,Top manager is female,Average,12.9,95.9,...,6.5,0.0,...,...,0.4,...,25.2,16.0,...,...,...
Armenia,2013,Gender of Top Manager,,Top manager is male,Average,13.9,95.0,...,7.6,0.0,...,...,0.7,...,23.0,20.8,...,...,...
Armenia,2013,Ownership Type,,Domestic,Average,13.9,100.0,...,0.0,0.0,...,...,0.7,...,21.8,18.3,...,...,...
Armenia,2013,Ownership Type,,10% or more foreign ownership,Average,11.5,34.4,...,100.0,0.0,...,...,0.0,...,44.5,34.8,...,...,...
Antigua and Barbuda,2010,,,,Average,17.1,92.2,...,8.5,0.4,...,...,51.6,...,3.7,50.8,...,...,...
Antigua and Barbuda,2010,Sector,Manufacturing,All,Average,17.9,89.7,...,12.0,0.0,...,...,32.7,...,3.0,46.3,...,...,...
Antigua and Barbuda,2010,Sector,Manufacturing,Manufacturing,Average,17.9,89.7,...,12.0,0.0,...,...,32.7,...,3.0,46.3,...,...,...
Antigua and Barbuda,2010,Sector,Services,All,Average,17.0,92.5,...,8.1,0.5,...,...,53.8,...,3.8,51.3,...,...,...
Antigua and Barbuda,2010,Sector,Services,Services,Average,17.0,92.5,...,8.1,0.5,...,...,53.8,...,3.8,51.3,...,...,...
Antigua and Barbuda,2010,Size,,Small (5-19),Average,14.1,96.1,...,5.3,0.0,...,...,63.7,...,4.5,44.1,...,...,...
Antigua and Barbuda,2010,Size,,Medium (20-99),Average,23.5,86.9,...,11.9,1.8,...,...,20.1,...,1.7,66.4,...,...,...
Antigua and Barbuda,2010,Size,,Large (100+),Average,36.4,44.8,...,55.2,0.0,...,...,18.4,...,0.0,86.8,...,...,...
Antigua and Barbuda,2010,Location,,Entire Country,Average,17.1,92.2,...,8.5,0.4,...,...,51.6,...,3.7,50.8,...,...,...
Antigua and Barbuda,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,12.9,92.9,...,7.0,0.0,...,...,34.2,...,7.5,33.9,...,...,...
Antigua and Barbuda,2010,Exporter Type,,Non-exporter,Average,17.9,92.1,...,8.8,0.5,...,...,55.2,...,2.9,54.3,...,...,...
Antigua and Barbuda,2010,Gender of Top Manager,,Top manager is female,Average,14.4,97.8,...,1.9,0.0,...,...,44.6,...,18.5,53.0,...,...,...
Antigua and Barbuda,2010,Gender of Top Manager,,Top manager is male,Average,17.7,91.1,...,9.8,0.5,...,...,53.1,...,0.5,50.3,...,...,...
Antigua and Barbuda,2010,Ownership Type,,Domestic,Average,16.4,99.4,...,0.0,0.5,...,...,54.6,...,3.0,47.7,...,...,...
Antigua and Barbuda,2010,Ownership Type,,10% or more foreign ownership,Average,24.2,15.4,...,100.0,0.0,...,...,25.6,...,0.0,79.8,...,...,...
Azerbaijan,2009,,,,Average,14.1,90.3,...,8.7,7.2,...,...,33.4,...,18.2,37.3,...,...,...
Azerbaijan,2009,Sector,Manufacturing,All,Average,16.0,82.0,...,16.4,14.1,...,...,32.1,...,28.2,36.6,...,...,...
Azerbaijan,2009,Sector,Manufacturing,Manufacturing,Average,16.0,82.0,...,16.4,14.1,...,...,32.1,...,28.2,36.6,...,...,...
Azerbaijan,2009,Sector,Services,All,Average,13.5,93.6,...,5.7,4.5,...,...,33.8,...,14.3,37.6,...,...,...
Azerbaijan,2009,Sector,Services,Retail,Average,10.7,98.4,...,1.8,1.4,...,...,53.4,...,12.9,36.6,...,...,...
Azerbaijan,2009,Sector,Services,Other Services,Average,14.8,91.2,...,7.6,6.0,...,...,24.1,...,15.0,38.1,...,...,...
Azerbaijan,2009,Size,,Small (5-19),Average,11.5,96.1,...,3.4,2.6,...,...,43.6,...,7.5,27.6,...,...,...
Azerbaijan,2009,Size,,Medium (20-99),Average,16.8,87.0,...,12.9,8.0,...,...,21.7,...,24.6,49.8,...,...,...
Azerbaijan,2009,Size,,Large (100+),Average,24.1,64.7,...,28.3,33.0,...,...,6.1,...,65.5,60.6,...,...,...
Azerbaijan,2009,Location,,Aranski & Gorno-Shirvanski,Average,19.7,93.0,...,3.9,11.4,...,...,30.1,...,7.5,19.2,...,...,...
Azerbaijan,2009,Location,,Baku & Apsheronski,Average,11.8,89.1,...,10.5,6.5,...,...,30.6,...,24.4,40.9,...,...,...
Azerbaijan,2009,Location,,Giandja-Kazakhski & Sheki-Zakatalski,Average,17.1,91.9,...,6.0,5.7,...,...,50.8,...,2.7,34.1,...,...,...
Azerbaijan,2009,Location,,Lenkoranski & Kuba-Khachmazski,Average,20.6,94.3,...,5.9,9.2,...,...,30.2,...,5.7,44.6,...,...,...
Azerbaijan,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,28.5,83.2,...,14.0,15.8,...,...,2.1,...,52.6,73.6,...,...,...
Azerbaijan,2009,Exporter Type,,Non-exporter,Average,13.7,90.5,...,8.5,6.9,...,...,34.3,...,17.2,36.3,...,...,...
Azerbaijan,2009,Gender of Top Manager,,Top manager is female,Average,11.9,82.1,...,17.4,4.3,...,...,27.0,...,19.1,41.8,...,...,...
Azerbaijan,2009,Gender of Top Manager,,Top manager is male,Average,14.2,90.7,...,8.3,7.3,...,...,33.6,...,18.2,37.2,...,...,...
Azerbaijan,2009,Ownership Type,,Domestic,Average,14.3,97.3,...,0.0,6.3,...,...,35.1,...,13.3,34.5,...,...,...
Azerbaijan,2009,Ownership Type,,10% or more foreign ownership,Average,11.9,17.6,...,100.0,16.8,...,...,14.7,...,70.9,67.0,...,...,...
Azerbaijan,2013,,,,Average,11.9,100.0,...,0.0,0.0,...,...,14.4,...,12.7,47.4,...,...,...
Azerbaijan,2013,Sector,Manufacturing,All,Average,15.7,100.0,...,0.0,0.0,...,...,23.8,...,15.6,64.3,...,...,...
Azerbaijan,2013,Sector,Manufacturing,Manufacturing,Average,15.7,100.0,...,0.0,0.0,...,...,23.8,...,15.6,64.3,...,...,...
Azerbaijan,2013,Sector,Services,All,Average,10.9,100.0,...,0.0,0.0,...,...,11.8,...,11.8,42.7,...,...,...
Azerbaijan,2013,Sector,Services,Retail,Average,11.4,100.0,...,0.0,0.0,...,...,24.4,...,11.5,46.4,...,...,...
Azerbaijan,2013,Sector,Services,Other Services,Average,10.6,100.0,...,0.0,0.0,...,...,7.0,...,12.0,41.2,...,...,...
Azerbaijan,2013,Size,,Small (5-19),Average,10.7,100.0,...,0.0,0.0,...,...,18.0,...,6.3,45.5,...,...,...
Azerbaijan,2013,Size,,Medium (20-99),Average,12.9,100.0,...,0.0,0.0,...,...,10.8,...,18.3,50.5,...,...,...
Azerbaijan,2013,Size,,Large (100+),Average,16.0,100.0,...,0.0,0.0,...,...,6.6,...,31.7,45.5,...,...,...
Azerbaijan,2013,Location,,Aranski & Gorno-Shirvanski,Average,10.6,100.0,...,0.0,0.0,...,...,23.8,...,0.0,52.2,...,...,...
Azerbaijan,2013,Location,,Baku & Apsheronski,Average,11.9,100.0,...,0.0,0.0,...,...,10.9,...,17.6,45.9,...,...,...
Azerbaijan,2013,Location,,Giandja-Kazakhski & Sheki-Zakatalski,Average,11.8,100.0,...,0.0,0.0,...,...,16.2,...,7.7,58.3,...,...,...
Azerbaijan,2013,Location,,Lenkoranski & Kuba-Khachmazski,Average,13.5,100.0,...,0.0,0.0,...,...,25.9,...,0.0,37.1,...,...,...
Azerbaijan,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,22.6,100.0,...,0.0,0.0,...,...,0.0,...,71.3,82.5,...,...,...
Azerbaijan,2013,Exporter Type,,Non-exporter,Average,11.8,100.0,...,0.0,0.0,...,...,14.5,...,12.2,47.1,...,...,...
Azerbaijan,2013,Gender of Top Manager,,Top manager is female,Average,11.2,100.0,...,0.0,0.0,...,...,17.1,...,31.4,48.8,...,...,...
Azerbaijan,2013,Gender of Top Manager,,Top manager is male,Average,11.9,100.0,...,0.0,0.0,...,...,14.3,...,12.2,47.3,...,...,...
Azerbaijan,2013,Ownership Type,,Domestic,Average,11.9,100.0,...,0.0,0.0,...,...,14.4,...,12.7,47.4,...,...,...
Burundi,2006,,,,Average,9.0,84.0,...,15.2,1.1,...,...,75.6,...,7.1,14.9,...,...,...
Burundi,2006,Sector,Manufacturing,All,Average,12.1,76.3,...,22.1,2.3,...,...,50.0,...,5.0,12.0,...,...,...
Burundi,2006,Sector,Manufacturing,Food,Average,9.6,79.1,...,18.1,4.5,...,...,54.8,...,4.5,22.6,...,...,...
Burundi,2006,Sector,Manufacturing,Garments,Average,7.3,69.6,...,30.4,0.0,...,...,82.6,...,0.0,0.0,...,...,...
Burundi,2006,Sector,Manufacturing,Other Manufacturing,Average,14.8,76.9,...,21.5,1.8,...,...,37.7,...,6.7,10.3,...,...,...
Burundi,2006,Sector,Services,All,Average,8.3,85.8,...,13.6,0.8,...,...,81.8,...,7.6,15.6,...,...,...
Burundi,2006,Sector,Services,Retail,Average,9.5,78.2,...,19.2,2.6,...,...,87.0,...,5.2,14.0,...,...,...
Burundi,2006,Sector,Services,Other Services,Average,7.7,89.5,...,10.9,0.0,...,...,79.3,...,8.7,16.3,...,...,...
Burundi,2006,Size,,Small (5-19),Average,7.9,86.0,...,13.4,0.6,...,...,80.4,...,4.8,12.3,...,...,...
Burundi,2006,Size,,Medium (20-99),Average,14.1,76.4,...,21.9,2.3,...,...,60.9,...,16.1,26.8,...,...,...
Burundi,2006,Size,,Large (100+),Average,15.3,62.8,...,34.7,8.8,...,...,12.1,...,26.0,29.6,...,...,...
Burundi,2006,Location,,Bujumbura,Average,9.0,84.0,...,15.2,1.1,...,...,75.6,...,7.1,14.9,...,...,...
Burundi,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Burundi,2006,Exporter Type,,Non-exporter,Average,8.9,84.3,...,14.7,1.1,...,...,76.2,...,6.6,14.3,...,...,...
Burundi,2006,Ownership Type,,Domestic,Average,8.7,98.4,...,0.0,1.3,...,...,77.2,...,6.4,14.9,...,...,...
Burundi,2006,Ownership Type,,10% or more foreign ownership,Average,10.9,2.6,...,100.0,0.0,...,...,66.8,...,10.9,14.8,...,...,...
Burundi,2014,,,,Average,15.5,83.3,...,20.6,0.6,...,...,43.1,...,10.6,58.0,...,...,...
Burundi,2014,Sector,Manufacturing,All,Average,18.8,81.6,...,19.8,3.6,...,...,51.2,...,6.1,50.5,...,...,...
Burundi,2014,Sector,Manufacturing,Manufacturing,Average,18.8,81.6,...,19.8,3.6,...,...,51.2,...,6.1,50.5,...,...,...
Burundi,2014,Sector,Services,All,Average,15.0,83.5,...,20.7,0.2,...,...,41.9,...,11.3,59.1,...,...,...
Burundi,2014,Sector,Services,Services,Average,15.0,83.5,...,20.7,0.2,...,...,41.9,...,11.3,59.1,...,...,...
Burundi,2014,Size,,Small (5-19),Average,15.2,89.1,...,13.7,0.0,...,...,50.2,...,3.8,53.7,...,...,...
Burundi,2014,Size,,Medium (20-99),Average,15.9,83.0,...,20.6,0.0,...,...,44.8,...,12.9,64.0,...,...,...
Burundi,2014,Size,,Large (100+),Average,15.2,53.8,...,56.4,5.8,...,...,0.0,...,39.1,59.8,...,...,...
Burundi,2014,Location,,Bujumbura,Average,16.4,80.9,...,23.8,0.5,...,...,35.0,...,12.5,59.1,...,...,...
Burundi,2014,Location,,Gitega,Average,10.5,94.3,...,5.7,0.0,...,...,91.9,...,0.0,21.9,...,...,...
Burundi,2014,Location,,Ngozi,Average,9.3,98.8,...,0.0,1.8,...,...,87.2,...,0.0,75.0,...,...,...
Burundi,2014,Exporter Type,,Direct exports are 10% or more of sales,Average,18.6,66.0,...,33.8,2.0,...,...,7.4,...,29.6,90.3,...,...,...
Burundi,2014,Exporter Type,,Non-exporter,Average,15.2,84.7,...,19.5,0.5,...,...,46.0,...,9.0,55.4,...,...,...
Burundi,2014,Gender of Top Manager,,Top manager is female,Average,20.8,79.7,...,28.3,0.9,...,...,35.6,...,13.7,48.9,...,...,...
Burundi,2014,Gender of Top Manager,,Top manager is male,Average,14.4,84.0,...,19.1,0.5,...,...,44.5,...,10.0,59.8,...,...,...
Burundi,2014,Ownership Type,,Domestic,Average,13.5,99.6,...,0.0,0.6,...,...,52.2,...,8.0,59.5,...,...,...
Burundi,2014,Ownership Type,,10% or more foreign ownership,Average,22.8,20.7,...,100.0,0.7,...,...,8.0,...,23.2,52.6,...,...,...
Benin,2009,,,,Average,10.8,85.6,...,11.8,0.2,...,...,60.2,...,8.9,60.6,...,...,...
Benin,2009,Sector,Manufacturing,All,Average,11.3,87.1,...,11.4,0.0,...,...,68.4,...,8.8,67.6,...,...,...
Benin,2009,Sector,Manufacturing,Manufacturing,Average,11.3,87.1,...,11.4,0.0,...,...,68.4,...,8.8,67.6,...,...,...
Benin,2009,Sector,Services,All,Average,10.7,85.3,...,11.9,0.2,...,...,58.5,...,9.0,59.2,...,...,...
Benin,2009,Sector,Services,Services,Average,10.7,85.3,...,11.9,0.2,...,...,58.5,...,9.0,59.2,...,...,...
Benin,2009,Size,,Small (5-19),Average,9.7,86.1,...,11.4,0.0,...,...,69.1,...,3.2,54.4,...,...,...
Benin,2009,Size,,Medium (20-99),Average,17.6,91.1,...,8.3,0.0,...,...,9.5,...,54.2,96.0,...,...,...
Benin,2009,Size,,Large (100+),Average,14.0,24.4,...,55.1,10.7,...,...,6.1,...,25.1,89.3,...,...,...
Benin,2009,Location,,Cotonou,Average,11.9,84.6,...,12.0,0.3,...,...,58.9,...,11.2,62.6,...,...,...
Benin,2009,Location,,Others,Average,6.8,89.2,...,11.0,0.0,...,...,64.8,...,0.9,52.5,...,...,...
Benin,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,7.7,23.2,...,80.8,0.0,...,...,67.8,...,14.5,23.0,...,...,...
Benin,2009,Exporter Type,,Non-exporter,Average,11.1,87.5,...,9.6,0.2,...,...,61.3,...,9.0,61.1,...,...,...
Benin,2009,Gender of Top Manager,,Top manager is female,Average,14.7,91.3,...,8.7,0.0,...,...,90.5,...,0.0,32.7,...,...,...
Benin,2009,Gender of Top Manager,,Top manager is male,Average,9.4,83.5,...,12.9,0.3,...,...,49.1,...,12.4,71.2,...,...,...
Benin,2009,Ownership Type,,Domestic,Average,10.9,96.6,...,0.0,0.2,...,...,60.6,...,9.0,63.4,...,...,...
Benin,2009,Ownership Type,,10% or more foreign ownership,Average,10.6,3.3,...,100.0,0.0,...,...,58.3,...,8.2,39.9,...,...,...
Benin,2016,,,,Average,16.4,77.5,...,19.4,4.9,...,...,68.5,...,14.4,66.5,...,...,...
Benin,2016,Sector,Manufacturing,All,Average,21.9,81.4,...,15.2,1.9,...,...,61.4,...,7.6,62.1,...,...,...
Benin,2016,Sector,Manufacturing,Manufacturing,Average,21.9,81.4,...,15.2,1.9,...,...,61.4,...,7.6,62.1,...,...,...
Benin,2016,Sector,Services,All,Average,15.1,76.5,...,20.3,5.6,...,...,70.2,...,16.0,67.5,...,...,...
Benin,2016,Sector,Services,Services,Average,15.1,76.5,...,20.3,5.6,...,...,70.2,...,16.0,67.5,...,...,...
Benin,2016,Size,,Medium (20-99),Average,17.5,73.4,...,36.6,0.0,...,...,45.8,...,25.9,68.7,...,...,...
Benin,2016,Size,,Small (5-19),Average,13.5,88.4,...,7.7,0.0,...,...,94.0,...,0.0,56.4,...,...,...
Benin,2016,Size,,Large (100+),Average,21.8,55.8,...,19.1,26.8,...,...,43.5,...,31.4,88.8,...,...,...
Benin,2016,Location,,"Atlantique, Borgou, Mono, Ouémé",Average,16.0,82.1,...,13.5,0.8,...,...,76.5,...,0.8,46.0,...,...,...
Benin,2016,Location,,Littoral,Average,16.5,76.4,...,20.6,5.8,...,...,66.8,...,17.3,70.9,...,...,...
Benin,2016,Exporter Type,,Direct exports are 10% or more of sales,Average,15.6,71.4,...,22.2,24.0,...,...,61.6,...,29.5,80.1,...,...,...
Benin,2016,Exporter Type,,Non-exporter,Average,16.4,78.9,...,18.8,0.5,...,...,70.6,...,10.7,63.6,...,...,...
Benin,2016,Gender of Top Manager,,Top manager is female,Average,12.4,76.3,...,18.8,0.0,...,...,85.9,...,6.8,64.9,...,...,...
Benin,2016,Gender of Top Manager,,Top manager is male,Average,17.8,77.9,...,19.6,6.7,...,...,62.5,...,17.0,67.0,...,...,...
Benin,2016,Ownership Type,,Domestic,Average,17.0,90.2,...,0.0,5.7,...,...,77.7,...,10.8,62.9,...,...,...
Benin,2016,Ownership Type,,10% or more foreign ownership,Average,13.6,24.1,...,100.0,1.9,...,...,33.5,...,27.8,81.3,...,...,...
Burkina Faso,2009,,,,Average,12.7,83.3,...,10.1,0.7,...,...,66.1,...,14.4,46.0,...,...,...
Burkina Faso,2009,Sector,Manufacturing,All,Average,15.4,79.3,...,7.5,1.5,...,...,68.7,...,17.5,49.0,...,...,...
Burkina Faso,2009,Sector,Manufacturing,Manufacturing,Average,15.4,79.3,...,7.5,1.5,...,...,68.7,...,17.5,49.0,...,...,...
Burkina Faso,2009,Sector,Services,All,Average,11.7,84.8,...,11.0,0.4,...,...,65.2,...,13.2,44.9,...,...,...
Burkina Faso,2009,Sector,Services,Retail,Average,11.8,87.8,...,8.2,0.0,...,...,80.3,...,5.9,41.6,...,...,...
Burkina Faso,2009,Sector,Services,Other Services,Average,11.7,83.1,...,12.7,0.6,...,...,56.4,...,17.4,46.8,...,...,...
Burkina Faso,2009,Size,,Small (5-19),Average,11.6,86.8,...,4.8,0.0,...,...,77.9,...,11.7,37.4,...,...,...
Burkina Faso,2009,Size,,Medium (20-99),Average,15.1,76.8,...,17.4,0.8,...,...,49.1,...,14.4,54.3,...,...,...
Burkina Faso,2009,Size,,Large (100+),Average,14.9,75.3,...,30.5,6.0,...,...,21.9,...,35.7,88.0,...,...,...
Burkina Faso,2009,Location,,Bobo-Dioulasso,Average,14.9,91.4,...,8.1,3.6,...,...,72.6,...,20.3,58.2,...,...,...
Burkina Faso,2009,Location,,Ouagadougou,Average,12.5,82.4,...,10.3,0.3,...,...,65.3,...,13.7,44.4,...,...,...
Burkina Faso,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,15.8,59.4,...,6.7,0.0,...,...,29.5,...,20.2,70.4,...,...,...
Burkina Faso,2009,Exporter Type,,Non-exporter,Average,12.6,84.8,...,9.2,0.7,...,...,68.5,...,13.0,45.0,...,...,...
Burkina Faso,2009,Gender of Top Manager,,Top manager is female,Average,14.5,78.4,...,11.7,1.2,...,...,69.1,...,21.4,48.4,...,...,...
Burkina Faso,2009,Gender of Top Manager,,Top manager is male,Average,12.5,84.2,...,9.7,0.6,...,...,65.8,...,13.6,45.6,...,...,...
Burkina Faso,2009,Ownership Type,,Domestic,Average,12.7,90.2,...,0.0,0.1,...,...,71.7,...,11.2,44.1,...,...,...
Burkina Faso,2009,Ownership Type,,10% or more foreign ownership,Average,13.3,22.4,...,100.0,6.2,...,...,18.8,...,39.7,59.8,...,...,...
Bangladesh,2007,,,,Average,14.7,98.5,...,1.0,0.3,...,...,46.9,...,7.8,37.1,...,...,...
Bangladesh,2007,Sector,Manufacturing,All,Average,13.6,98.2,...,1.3,0.3,...,...,40.6,...,10.0,39.0,...,...,...
Bangladesh,2007,Sector,Manufacturing,Food,Average,18.2,97.3,...,0.0,2.8,...,...,52.5,...,8.7,35.5,...,...,...
Bangladesh,2007,Sector,Manufacturing,Textiles,Average,15.1,99.2,...,1.3,0.2,...,...,33.5,...,4.6,32.6,...,...,...
Bangladesh,2007,Sector,Manufacturing,Garments,Average,11.8,98.7,...,1.4,0.0,...,...,18.4,...,23.3,62.7,...,...,...
Bangladesh,2007,Sector,Manufacturing,Leather Products,Average,8.1,99.5,...,0.6,0.0,...,...,77.4,...,1.7,10.4,...,...,...
Bangladesh,2007,Sector,Manufacturing,Chemicals & Chemical Products,Average,15.5,97.0,...,1.3,0.0,...,...,50.3,...,2.7,32.1,...,...,...
Bangladesh,2007,Sector,Manufacturing,Machinery & Equipment & Electronics,Average,15.0,96.6,...,5.6,0.0,...,...,21.4,...,21.8,53.0,...,...,...
Bangladesh,2007,Sector,Manufacturing,Other Manufacturing,Average,12.5,99.3,...,0.7,0.3,...,...,44.6,...,3.4,25.9,...,...,...
Bangladesh,2007,Sector,Services,All,Average,18.5,99.6,...,0.0,0.0,...,...,68.4,...,0.7,30.7,...,...,...
Bangladesh,2007,Sector,Services,Retail,Average,18.8,99.9,...,0.0,0.1,...,...,71.0,...,0.1,29.1,...,...,...
Bangladesh,2007,Sector,Services,Other Services,Average,15.8,96.1,...,0.0,0.0,...,...,37.1,...,8.0,50.7,...,...,...
Bangladesh,2007,Size,,Large (100+),Average,13.6,96.0,...,2.8,0.5,...,...,7.6,...,24.5,68.5,...,...,...
Bangladesh,2007,Size,,Medium (20-99),Average,15.1,99.3,...,0.5,0.4,...,...,44.8,...,2.2,39.0,...,...,...
Bangladesh,2007,Size,,Small (5-19),Average,15.3,99.8,...,0.0,0.0,...,...,77.0,...,0.2,13.2,...,...,...
Bangladesh,2007,Location,,Barisal,Average,17.9,98.8,...,1.3,0.0,...,...,65.0,...,8.9,6.3,...,...,...
Bangladesh,2007,Location,,Chittagong,Average,16.1,93.8,...,5.8,0.4,...,...,46.0,...,14.2,44.7,...,...,...
Bangladesh,2007,Location,,Dhaka,Average,14.5,99.1,...,0.5,0.2,...,...,46.2,...,7.2,36.8,...,...,...
Bangladesh,2007,Location,,Khulna,Average,17.1,99.0,...,0.0,0.5,...,...,71.8,...,7.5,18.7,...,...,...
Bangladesh,2007,Location,,Rajshahi,Average,18.2,99.6,...,0.0,0.8,...,...,67.2,...,4.0,9.6,...,...,...
Bangladesh,2007,Location,,Sylhet,Average,14.7,96.4,...,0.0,0.0,...,...,58.3,...,3.8,43.7,...,...,...
Bangladesh,2007,Exporter Type,,Direct exports are 10% or more of sales,Average,12.0,97.6,...,2.8,0.0,...,...,5.7,...,28.8,71.4,...,...,...
Bangladesh,2007,Exporter Type,,Non-exporter,Average,15.4,98.8,...,0.6,0.3,...,...,56.3,...,3.2,29.5,...,...,...
Bangladesh,2007,Gender of Top Manager,,Top manager is female,Average,11.8,94.6,...,0.0,0.0,...,...,42.3,...,18.7,61.2,...,...,...
Bangladesh,2007,Gender of Top Manager,,Top manager is male,Average,14.8,98.6,...,1.0,0.3,...,...,47.0,...,7.7,36.8,...,...,...
Bangladesh,2007,Ownership Type,,Domestic,Average,14.8,99.3,...,0.0,0.3,...,...,47.4,...,7.0,36.7,...,...,...
Bangladesh,2007,Ownership Type,,10% or more foreign ownership,Average,14.0,19.0,...,100.0,0.0,...,...,0.0,...,86.3,74.4,...,...,...
Bangladesh,2013,,,,Average,18.5,98.4,...,1.9,0.2,...,...,65.0,...,14.3,37.2,...,...,...
Bangladesh,2013,Sector,Manufacturing,All,Average,18.4,97.9,...,2.5,0.0,...,...,61.2,...,17.3,41.1,...,...,...
Bangladesh,2013,Sector,Manufacturing,Food,Average,19.2,99.8,...,0.2,0.0,...,...,60.8,...,15.9,29.8,...,...,...
Bangladesh,2013,Sector,Manufacturing,Garments,Average,16.1,96.4,...,4.7,0.0,...,...,58.7,...,28.5,55.5,...,...,...
Bangladesh,2013,Sector,Manufacturing,Leather Products,Average,24.7,95.4,...,4.7,0.0,...,...,68.6,...,14.1,39.9,...,...,...
Bangladesh,2013,Sector,Manufacturing,Chemicals & Chemical Products,Average,28.7,98.3,...,3.1,0.6,...,...,40.0,...,36.9,71.3,...,...,...
Bangladesh,2013,Sector,Manufacturing,Motor Vehicles & Transport Equip.,Average,23.4,94.4,...,8.4,0.0,...,...,64.3,...,13.6,32.9,...,...,...
Bangladesh,2013,Sector,Manufacturing,Furniture,Average,20.3,91.0,...,9.3,0.0,...,...,70.1,...,19.3,42.6,...,...,...
Bangladesh,2013,Sector,Manufacturing,Other Manufacturing,Average,17.9,99.3,...,0.8,0.0,...,...,62.9,...,9.8,32.8,...,...,...
Bangladesh,2013,Sector,Services,All,Average,18.8,99.6,...,0.3,0.4,...,...,74.7,...,6.7,27.3,...,...,...
Bangladesh,2013,Sector,Services,Retail,Average,22.1,98.6,...,1.8,0.0,...,...,72.1,...,14.0,42.9,...,...,...
Bangladesh,2013,Sector,Services,Other Services,Average,18.3,99.7,...,0.0,0.5,...,...,75.2,...,5.4,24.5,...,...,...
Bangladesh,2013,Size,,Medium (20-99),Average,17.8,99.2,...,0.8,0.0,...,...,75.9,...,9.2,25.8,...,...,...
Bangladesh,2013,Size,,Small (5-19),Average,18.9,99.5,...,0.4,0.3,...,...,79.9,...,4.9,20.6,...,...,...
Bangladesh,2013,Size,,Large (100+),Average,19.0,95.7,...,5.4,0.1,...,...,29.4,...,34.6,75.7,...,...,...
Bangladesh,2013,Location,,Chittagong,Average,22.5,95.2,...,6.2,0.0,...,...,46.5,...,20.4,53.4,...,...,...
Bangladesh,2013,Location,,Dhaka,Average,17.4,98.9,...,1.1,0.2,...,...,68.0,...,11.9,32.0,...,...,...
Bangladesh,2013,Location,,Khulna,Average,21.4,100.0,...,0.0,0.0,...,...,71.4,...,44.1,32.3,...,...,...
Bangladesh,2013,Location,,Rajshahi,Average,21.2,99.6,...,0.5,0.0,...,...,78.9,...,13.5,75.5,...,...,...
Bangladesh,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,17.1,95.0,...,6.5,0.0,...,...,35.5,...,42.0,82.6,...,...,...
Bangladesh,2013,Exporter Type,,Non-exporter,Average,18.8,99.1,...,0.9,0.2,...,...,71.4,...,8.3,27.3,...,...,...
Bangladesh,2013,Gender of Top Manager,,Top manager is female,Average,22.0,96.9,...,3.8,0.0,...,...,33.0,...,25.7,76.4,...,...,...
Bangladesh,2013,Gender of Top Manager,,Top manager is male,Average,18.3,98.4,...,1.8,0.2,...,...,66.6,...,13.8,35.2,...,...,...
Bangladesh,2013,Ownership Type,,Domestic,Average,18.5,99.9,...,0.0,0.1,...,...,65.8,...,13.8,36.4,...,...,...
Bangladesh,2013,Ownership Type,,10% or more foreign ownership,Average,18.4,18.6,...,100.0,0.8,...,...,24.4,...,42.6,82.3,...,...,...
